id,keywords
9087,"[{'id': 833, 'name': 'white house'}, {'id': 840, 'name': 'usa president'}, {'id': 1605, 'name': 'new love'}, {'id': 33476, 'name': 'widower'}, {'id': 211505, 'name': 'wildlife conservation'}]"
12110,"[{'id': 3633, 'name': 'dracula'}, {'id': 11931, 'name': 'spoof'}]"
21032,"[{'id': 1994, 'name': 'wolf'}, {'id': 6411, 'name': 'dog-sledding race'}, {'id': 9880, 'name': 'alaska'}, {'id': 15162, 'name': 'dog'}, {'id': 15169, 'name': 'goose'}, {'id': 158175, 'name': 'bear attack'}, {'id': 158370, 'name': 'dog sled'}, {'id': 158371, 'name': 'frozen lake'}]"
10858,"[{'id': 840, 'name': 'usa president'}, {'id': 2946, 'name': 'presidential election'}, {'id': 4240, 'name': 'watergate scandal'}, {'id': 5565, 'name': 'biography'}, {'id': 6086, 'name': 'government'}, {'id': 6165, 'name': 'historical figure'}]"
1408,"[{'id': 911, 'name': 'exotic island'}, {'id': 1454, 'name': 'treasure'}, {'id': 1969, 'name': 'map'}, {'id': 3799, 'name': 'ship'}, {'id': 5470, 'name': 'scalp'}, {'id': 12988, 'name': 'pirate'}]"
524,"[{'id': 383, 'name': 'poker'}, {'id': 726, 'name': 'drug abuse'}, {'id': 1228, 'name': '1970s'}, {'id': 2635, 'name': 'overdose'}, {'id': 33625, 'name': 'illegal prostitution'}]"
4584,"[{'id': 420, 'name': 'bowling'}, {'id': 818, 'name': 'based on novel'}, {'id': 964, 'name': 'servant'}, {'id': 2755, 'name': 'country life'}, {'id': 7564, 'name': 'jane austen'}, {'id': 10911, 'name': 'inheritance'}, {'id': 11109, 'name': 'military officer'}, {'id': 15060, 'name': 'period drama'}, {'id': 156507, 'name': 'rainstorm'}, {'id': 156510, 'name': 'horse and carriage'}, {'id': 156512, 'name': 'decorum'}]"
5,"[{'id': 612, 'name': 'hotel'}, {'id': 613, 'name': ""new year's eve""}, {'id': 616, 'name': 'witch'}, {'id': 622, 'name': 'bet'}, {'id': 922, 'name': 'hotel room'}, {'id': 2700, 'name': 'sperm'}, {'id': 12670, 'name': 'los angeles'}, {'id': 160488, 'name': 'hoodlum'}, {'id': 187056, 'name': 'woman director'}, {'id': 198129, 'name': 'episode film'}]"
9273,"[{'id': 409, 'name': 'africa'}, {'id': 1551, 'name': 'indigenous'}, {'id': 2526, 'name': 'human animal relationship'}, {'id': 5155, 'name': 'bat'}]"
11517,"[{'id': 380, 'name': 'brother brother relationship'}, {'id': 1552, 'name': 'subway'}, {'id': 14512, 'name': 'new york city'}, {'id': 155735, 'name': 'new york subway'}, {'id': 156120, 'name': 'train robbery'}]"
8012,"[{'id': 395, 'name': 'gambling'}, {'id': 416, 'name': 'miami'}, {'id': 818, 'name': 'based on novel'}, {'id': 8438, 'name': 'job'}, {'id': 9826, 'name': 'murder'}, {'id': 9935, 'name': 'travel'}, {'id': 10391, 'name': 'mafia'}, {'id': 10594, 'name': 'money'}, {'id': 11061, 'name': 'debt'}, {'id': 11578, 'name': 'mobster'}, {'id': 12094, 'name': 'business'}, {'id': 12396, 'name': 'hollywood'}, {'id': 13142, 'name': 'gangster'}, {'id': 14536, 'name': 'crime'}, {'id': 14819, 'name': 'violence'}, {'id': 14964, 'name': 'drug'}, {'id': 33879, 'name': 'producer'}, {'id': 159608, 'name': 'con'}]"
1710,"[{'id': 796, 'name': 'police brutality'}, {'id': 2800, 'name': 'psychology'}, {'id': 4668, 'name': 'police operation'}, {'id': 5430, 'name': 'police protection'}, {'id': 10714, 'name': 'serial killer'}, {'id': 11268, 'name': 'psychologist'}, {'id': 13001, 'name': 'cowardliness'}]"
9691,"[{'id': 271, 'name': 'competition'}, {'id': 441, 'name': 'assassination'}, {'id': 591, 'name': 'cia'}, {'id': 974, 'name': 'bank'}, {'id': 977, 'name': 'cat'}, {'id': 1666, 'name': 'mexican standoff'}, {'id': 2350, 'name': 'seattle'}, {'id': 2708, 'name': 'hitman'}, {'id': 3045, 'name': 'mission of murder'}, {'id': 3979, 'name': 'hidden camera'}, {'id': 9823, 'name': 'rivalry'}, {'id': 10084, 'name': 'rescue'}, {'id': 10950, 'name': 'shootout'}, {'id': 11148, 'name': 'police chase'}, {'id': 12355, 'name': 'sniper rifle'}, {'id': 18107, 'name': 'silencer'}, {'id': 33456, 'name': 'double cross'}, {'id': 167861, 'name': 'caribbean'}, {'id': 178929, 'name': 'detroit michigan'}]"
12665,"[{'id': 7345, 'name': 'dead animal'}, {'id': 11325, 'name': 'shot to death'}, {'id': 18068, 'name': 'teenage boy'}, {'id': 18320, 'name': 'held at gunpoint'}, {'id': 41355, 'name': 'teacher student relationship'}, {'id': 163531, 'name': 'albino'}, {'id': 163533, 'name': 'fainting'}, {'id': 163534, 'name': 'jacobs ladder'}, {'id': 163540, 'name': 'christ allegory'}, {'id': 163543, 'name': 'psionic power'}, {'id': 163545, 'name': 'healing power'}, {'id': 163552, 'name': 'looking pale'}, {'id': 163553, 'name': 'flickering light'}, {'id': 163558, 'name': 'extrasensory perception'}]"
451,"[{'id': 30, 'name': 'individual'}, {'id': 549, 'name': 'prostitute'}, {'id': 567, 'name': 'alcohol'}, {'id': 585, 'name': 'casino'}, {'id': 699, 'name': 'love at first sight'}, {'id': 725, 'name': 'lovesickness'}, {'id': 887, 'name': 'film producer'}, {'id': 888, 'name': 'screenwriter'}, {'id': 922, 'name': 'hotel room'}, {'id': 3737, 'name': 'dying and death'}, {'id': 3927, 'name': 'rage and hate'}, {'id': 6059, 'name': 'unsociability'}, {'id': 7464, 'name': 'alcoholism'}, {'id': 12670, 'name': 'los angeles'}, {'id': 15237, 'name': 'alcohol abuse'}, {'id': 155793, 'name': 'attempted suicide'}]"
16420,"[{'id': 497, 'name': 'shakespeare'}, {'id': 931, 'name': 'jealousy'}, {'id': 9713, 'name': 'friends'}, {'id': 17982, 'name': 'moor'}]"
9263,"[{'id': 1228, 'name': '1970s'}, {'id': 5248, 'name': 'female friendship'}, {'id': 10683, 'name': 'coming of age'}, {'id': 170521, 'name': 'gynecologist'}, {'id': 170533, 'name': 'photocopier'}, {'id': 170539, 'name': 'truth or dare'}, {'id': 187056, 'name': 'woman director'}]"
17015,"[{'id': 1316, 'name': 'captain'}, {'id': 33384, 'name': 'napoleonic wars'}, {'id': 33386, 'name': 'old flame'}, {'id': 33388, 'name': 'admiral'}]"
902,"[{'id': 402, 'name': 'clone'}, {'id': 1566, 'name': 'dream'}, {'id': 2041, 'name': 'island'}, {'id': 4484, 'name': 'eye'}, {'id': 4565, 'name': 'dystopia'}, {'id': 4995, 'name': 'aging'}, {'id': 6054, 'name': 'friendship'}, {'id': 10084, 'name': 'rescue'}, {'id': 10103, 'name': 'children'}, {'id': 14659, 'name': 'girl'}, {'id': 157955, 'name': 'childhood'}]"
37557,"[{'id': 964, 'name': 'servant'}, {'id': 2311, 'name': 'cabaret'}, {'id': 2682, 'name': 'shanghai'}, {'id': 2992, 'name': 'diva'}, {'id': 6464, 'name': 'uncle'}, {'id': 11869, 'name': 'mistress'}, {'id': 41277, 'name': 'umbrella'}]"
9909,"[{'id': 897, 'name': 'rap music'}, {'id': 3436, 'name': 'karate'}, {'id': 6270, 'name': 'high school'}, {'id': 6610, 'name': 'naval officer'}, {'id': 10508, 'name': 'teacher'}, {'id': 155582, 'name': 'amusement park'}]"
63,"[{'id': 222, 'name': 'schizophrenia'}, {'id': 276, 'name': 'philadelphia'}, {'id': 277, 'name': 'cassandra syndrom'}, {'id': 278, 'name': 'stockholm syndrome'}, {'id': 4379, 'name': 'time travel'}, {'id': 4458, 'name': 'post-apocalyptic'}, {'id': 4565, 'name': 'dystopia'}, {'id': 14675, 'name': 'lethal virus'}, {'id': 15149, 'name': 'monkey'}, {'id': 162801, 'name': 'subterranean'}]"
78802,[]
9598,"[{'id': 3020, 'name': 'sheep'}, {'id': 4931, 'name': 'pig'}, {'id': 5608, 'name': 'affection'}, {'id': 8082, 'name': 'piglet'}, {'id': 11115, 'name': 'heroism'}, {'id': 11477, 'name': 'talking animal'}, {'id': 18013, 'name': 'separation'}, {'id': 33671, 'name': 'german shepherd'}, {'id': 158019, 'name': 'grandson'}, {'id': 206052, 'name': 'talking pig'}]"
47018,"[{'id': 392, 'name': 'england'}, {'id': 437, 'name': 'painter'}, {'id': 8997, 'name': 'conscientious objector'}, {'id': 10183, 'name': 'independent film'}, {'id': 13065, 'name': 'soldier'}]"
687,"[{'id': 378, 'name': 'prison'}, {'id': 570, 'name': 'rape'}, {'id': 1952, 'name': 'socially deprived family'}, {'id': 2060, 'name': 'penalty'}, {'id': 2122, 'name': 'death penalty'}, {'id': 2300, 'name': 'despair'}, {'id': 2501, 'name': 'death row'}, {'id': 2538, 'name': 'begnadigung'}, {'id': 2726, 'name': 'therapist'}, {'id': 2796, 'name': 'self-discovery'}, {'id': 2885, 'name': 'prison cell'}, {'id': 3012, 'name': 'court case'}, {'id': 3437, 'name': 'death sentence'}, {'id': 3440, 'name': 'doomed man'}, {'id': 3441, 'name': 'sentence'}, {'id': 3442, 'name': 'lethal injection'}, {'id': 3446, 'name': 'forgiveness'}, {'id': 3447, 'name': 'charity'}, {'id': 3448, 'name': 'mercy petition'}, {'id': 3927, 'name': 'rage and hate'}, {'id': 6059, 'name': 'unsociability'}, {'id': 6145, 'name': 'right and justice'}, {'id': 6148, 'name': 'court'}, {'id': 11263, 'name': 'electric chair'}, {'id': 13001, 'name': 'cowardliness'}]"
139405,[]
33689,"[{'id': 13014, 'name': 'orphan'}, {'id': 204353, 'name': 'identical twin'}]"
9603,"[{'id': 1525, 'name': 'puberty'}, {'id': 6270, 'name': 'high school'}, {'id': 6664, 'name': 'make a match'}, {'id': 7208, 'name': 'spoiled child'}, {'id': 10199, 'name': 'gay interest'}, {'id': 11933, 'name': 'conflict'}, {'id': 187056, 'name': 'woman director'}]"
34615,"[{'id': 3644, 'name': 'south africa'}]"
31174,"[{'id': 392, 'name': 'england'}, {'id': 497, 'name': 'shakespeare'}, {'id': 1930, 'name': 'kidnapping'}, {'id': 9826, 'name': 'murder'}, {'id': 13084, 'name': 'king'}]"
11443,"[{'id': 10594, 'name': 'money'}, {'id': 11254, 'name': 'loss of virginity'}, {'id': 159640, 'name': 'hiding in a dumpster'}, {'id': 159643, 'name': 'mercy killing'}, {'id': 159660, 'name': 'armored truck'}, {'id': 159661, 'name': 'crushed by a car'}]"
35196,"[{'id': 931, 'name': 'jealousy'}, {'id': 1279, 'name': 'medicine'}, {'id': 2098, 'name': 'fountain'}, {'id': 6148, 'name': 'court'}, {'id': 10329, 'name': 'wealth'}, {'id': 44448, 'name': 'spaniel'}, {'id': 44449, 'name': 'gloves'}]"
9312,"[{'id': 779, 'name': 'martial arts'}, {'id': 1299, 'name': 'monster'}, {'id': 2041, 'name': 'island'}, {'id': 10292, 'name': 'gore'}, {'id': 10821, 'name': 'sorcerer'}, {'id': 12380, 'name': 'tournament'}, {'id': 14819, 'name': 'violence'}, {'id': 41645, 'name': 'based on video game'}, {'id': 188955, 'name': 'hand to hand combat'}]"
577,"[{'id': 596, 'name': 'adultery'}, {'id': 1442, 'name': 'winter'}, {'id': 1523, 'name': 'obsession'}, {'id': 2136, 'name': 'television'}, {'id': 6018, 'name': 'new hampshire'}, {'id': 208477, 'name': 'narcissistic personality disorder'}]"
11861,"[{'id': 1334, 'name': 'wedding vows'}, {'id': 1459, 'name': 'marriage proposal'}, {'id': 2587, 'name': 'married couple'}, {'id': 5773, 'name': 'monogamy'}, {'id': 5999, 'name': 'advice'}, {'id': 6038, 'name': 'marriage'}, {'id': 9470, 'name': 'quilt'}, {'id': 9673, 'name': 'love'}, {'id': 33694, 'name': 'family holiday'}, {'id': 34094, 'name': 'extramarital affair'}, {'id': 164039, 'name': 'grandmother'}, {'id': 187056, 'name': 'woman director'}]"
807,"[{'id': 476, 'name': 'self-fulfilling prophecy'}, {'id': 703, 'name': 'detective'}, {'id': 1470, 'name': 's.w.a.t.'}, {'id': 2231, 'name': 'drug dealer'}, {'id': 3597, 'name': 'evisceration'}, {'id': 3857, 'name': 'lust and impulsiveness'}, {'id': 3927, 'name': 'rage and hate'}, {'id': 3932, 'name': 'pride and vanity'}, {'id': 4138, 'name': 'immoderateness'}, {'id': 4142, 'name': 'insomnia'}, {'id': 5340, 'name': 'investigation'}, {'id': 6125, 'name': 'pension'}, {'id': 6149, 'name': 'police'}, {'id': 10714, 'name': 'serial killer'}]"
10530,"[{'id': 1463, 'name': 'culture clash'}, {'id': 3591, 'name': 'settler'}, {'id': 3691, 'name': 'forbidden love'}, {'id': 4090, 'name': 'colony'}, {'id': 4344, 'name': 'musical'}, {'id': 4542, 'name': 'gold rush'}, {'id': 7376, 'name': 'princess'}, {'id': 9840, 'name': 'romance'}, {'id': 10322, 'name': 'native american'}, {'id': 10336, 'name': 'animation'}, {'id': 160977, 'name': 'virginia'}, {'id': 165086, 'name': 'star crossed lovers'}, {'id': 173808, 'name': 'reference to pizarro'}, {'id': 173811, 'name': 'jamestown virginia'}, {'id': 173815, 'name': 'pug dog'}, {'id': 173823, 'name': 'cross cultural relationship'}, {'id': 173824, 'name': 'musket'}, {'id': 173825, 'name': 'animate tree'}, {'id': 180217, 'name': 'indian chief'}, {'id': 185343, 'name': 'based on myths or folklore'}, {'id': 207941, 'name': '17th century'}, {'id': 208426, 'name': 'shamanism'}, {'id': 225547, 'name': 'songs'}, {'id': 230456, 'name': 'indians vs. settlers'}, {'id': 234183, 'name': 'animal sidekick'}, {'id': 234184, 'name': 'powhatan'}, {'id': 234185, 'name': 'land claim'}]"
8391,"[{'id': 1992, 'name': 'professor'}, {'id': 158718, 'name': 'lgbt'}, {'id': 187056, 'name': 'woman director'}]"
